zatu_handle,zatu_title,reason,bgg_id,bgg_name,score
muffin-time-2021-edition,Muffin Time - (Inc. Both Expansions),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,59.64912280701755
bananagrams,Bananagrams,"QUALITY_GATE: shrunk=6.43, usersrated=13728",27225,Bananagrams,100.0
cockroach-poker-english-edition,Cockroach Poker English Edition,"QUALITY_GATE: shrunk=6.80, usersrated=16668",11971,Cockroach Poker,100.0
fungi,Fungi,"QUALITY_GATE: shrunk=6.75, usersrated=10",424937,Fungi Contest,95.0
mysterium,Mysterium,"QUALITY_GATE: shrunk=7.19, usersrated=49591",181304,Mysterium,100.0
coup,Coup,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
the-mind,The Mind,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
hues-and-cues,Hues and Cues,"QUALITY_GATE: shrunk=6.43, usersrated=7962",302520,Hues and Cues,100.0
wingspan-oceania-expansion,Wingspan: Oceania Expansion,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
dixit,Dixit,"QUALITY_GATE: shrunk=7.18, usersrated=71821",39856,Dixit,100.0
6-nimmt,6 Nimmt!,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this title as a prefix,,,80.0
the-crew,The Crew,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this title as a prefix,,,75.0
wingspan-european-expansion,Wingspan European Expansion,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
magical-athlete,Magical Athlete,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
herd-mentality,Herd Mentality,"QUALITY_GATE: shrunk=6.59, usersrated=3993",311322,Herd Mentality,100.0
bohnanza-2,Bohnanza,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
7-wonders-duel-pantheon,7 Wonders Duel: Pantheon Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.1578947368421
sushi-go,Sushi Go,"QUALITY_GATE: shrunk=6.98, usersrated=52888",133473,Sushi Go!,100.0
vantage,Vantage Board Game,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
compile-card-game-main-1-edition,Compile Card Game: Main 1 Edition,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,80.0
heat,Heat,"QUALITY_GATE: shrunk=6.29, usersrated=284",157815,Heat,100.0
forbidden-island,Forbidden Island,"QUALITY_GATE: shrunk=6.75, usersrated=54744",65244,Forbidden Island,100.0
dobble,Dobble,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this title as a prefix,,,83.33333333333334
bandido,Bandido,"QUALITY_GATE: shrunk=6.40, usersrated=7681",191925,Bandido,100.0
wavelength,Wavelength,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
the-fellowship-of-the-ring-trick-taking-game,The Fellowship of the Ring: Trick-Taking Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,83.72093023255813
takenoko,Takenoko,"QUALITY_GATE: shrunk=7.19, usersrated=48327",70919,Takenoko,100.0
scout,Scout,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
quacks-of-quedlinburg-mega-box,The Quacks of Quedlinburg: Mega Box,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,88.13559322033898
camel-up-2nd-edition,Camel Up 2nd Edition,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
the-chameleon,The Chameleon,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
outfoxed,Outfoxed!,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
